Name,Coefficient
Intercept,56.627
erster_monat_kohorte_fg,50.659
monate_seit_einfuehrung_programm_kohorte,-0.54
rabatt_indexiert,0.008
kohorte_monat_1,-2.855
kohorte_monat_10,0.152
kohorte_monat_11,-1.821
kohorte_monat_12,-4.328
kohorte_monat_2,-3.293
kohorte_monat_3,-2.853
kohorte_monat_4,-1.292
kohorte_monat_5,0.125
kohorte_monat_6,-1.999
kohorte_monat_7,-1.938
kohorte_monat_8,11.35
kohorte_monat_9,8.751
monat_jahreszeit_Frühling,0.519
monat_jahreszeit_Herbst,-0.466
monat_jahreszeit_Sommer,-1.144
monat_jahreszeit_Winter,1.091
